Component/Office,Request Number,Is Consultation,Days Allowed,Exemption 3 Statutes,Type(s) of Info Withheld,Case Citation(s),Dates Initially Received,Perfected,Completed,Days Tolled,Track,Disposition,Disposition Reasons,Exemption(s) Applied,Appeal Date Received,Date Closed,Appeal Disposition,Appeal Reasons,Appeal Exemption(s) Applied,Exp. Date Received,Exp. Date of Determination,Exp. Granted/Denied,Fee Date Received,Fee Date of Determination,Fee Granted/Denied,Amount of Fees Collected
CIA,580617,N,,,,,10/29/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580618,N,,,,,10/29/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580620,N,,,,,10/29/2018,,1/23/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580622,N,,,,,10/29/2018,,11/21/2018,,Simple,Referred to Another Agency,,,,,,,,,,,,,,
CIA,580623,N,,,,,10/29/2018,,2/7/2019,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,580625,N,,,,,10/30/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580626,N,,,,,10/30/2018,,2/11/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580627,N,,,,,10/30/2018,,8/7/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580628,N,,,,,10/30/2018,,1/17/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580631,N,,,,,10/30/2018,,9/24/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,10/31/2018,10/31/2018,Denied,,,,
CIA,580638,N,,,,,10/30/2018,,1/10/2019,,Complex,Denied in Full,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,580641,N,,,,,10/30/2018,,6/18/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6); NR Record;,,,,,,,,,,,,
CIA,580645,N,,,,,10/30/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580649,N,,,,,10/30/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580651,N,,,,,10/30/2018,,12/21/2018,,Complex,Referred to Another Agency,,,,,,,,,,,,,,
CIA,580656,N,,,,,10/30/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580658,N,,,,,10/30/2018,,10/30/2018,,Simple,Early Litigation,,,10/30/2018,10/30/2018,Early Litigation,,,,,,,,,
CIA,580660,N,,,,,10/30/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580662,N,,,,,10/31/2018,,12/18/2018,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580664,N,,,,,10/31/2018,,1/24/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580665,N,,,,,10/31/2018,,3/25/2019,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,580673,N,,,,,10/31/2018,,12/4/2018,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580694,N,,,,,10/31/2018,,12/3/2018,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580696,N,,,,,11/1/2018,,12/11/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580703,N,,,,,11/1/2018,,5/17/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580705,N,,,,,11/1/2018,,11/1/2018,,Simple,Early Litigation,,,11/1/2018,11/1/2018,Early Litigation,,,,,,,,,
CIA,580708,N,,,,,11/1/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580710,N,,,,,11/1/2018,,11/21/2018,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,580714,N,,,,,11/1/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580718,N,,,,,11/2/2018,,2/15/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580720,N,,,,,11/2/2018,,1/22/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580722,N,,,,,11/2/2018,,9/27/2019,,Complex,Granted in Part,,(b)(1); (b)(3); (b)(6);,,,,,,,,,,,,
CIA,580723,N,,,,,11/2/2018,,2/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580724,N,,,,,11/2/2018,,12/3/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580725,N,,,,,11/2/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580726,N,,,,,11/2/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580730,N,,,,,11/2/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580732,N,,,,,11/2/2018,,11/6/2018,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,580733,N,,,,,11/2/2018,,2/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580736,N,,,,,11/2/2018,,12/7/2018,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580740,N,,,,,11/2/2018,,4/4/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580742,N,,,,,11/5/2018,,12/10/2018,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580743,N,,,,,11/5/2018,,11/30/2018,,Simple,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580744,N,,,,,11/5/2018,,6/25/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580746,N,,,,,11/5/2018,,2/19/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580747,N,,,,,11/5/2018,,12/3/2018,,Simple,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580748,N,,,,,11/5/2018,,12/11/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580749,N,,,,,11/5/2018,,11/5/2018,,Simple,Early Litigation,,,11/5/2018,11/5/2018,Early Litigation,,,,,,,,,
CIA,580752,N,,,,,11/5/2018,,8/1/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580753,N,,,,,11/5/2018,,1/28/2019,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,580755,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580757,N,,,,,11/5/2018,,1/28/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580758,N,,,,,11/5/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580759,N,,,,,11/5/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580760,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,11/5/2018,12/7/2018,Denied,
CIA,580761,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580762,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580764,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580765,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580766,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,6/4/2019,,,,,,,,,,,
CIA,580767,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580768,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580769,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580770,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580771,N,,,,,11/5/2018,,11/28/2018,,Simple,Referred to Another Agency,,,,,,,,,,,,,,
CIA,580773,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580774,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580775,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580776,N,,,,,11/5/2018,,11/15/2018,,Simple,Granted in Full,,,1/3/2019,1/3/2019,Cancelled,Other Explained,,,,,,,,
CIA,580777,N,,,,,11/5/2018,,2/15/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580778,N,,,,,11/5/2018,,2/6/2019,,Simple,Cancelled,Not Agency Record,,6/4/2019,9/12/2019,Cancelled,Improper FOIA Request for Other Reasons,,,,,,,,
CIA,580781,N,,,,,11/5/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580782,N,,,,,11/5/2018,,2/6/2019,,Simple,Cancelled,Not Agency Record,,6/4/2019,6/5/2019,Referred to Another Agency,,,,,,,,,
CIA,580783,N,,,,,11/5/2018,,2/13/2019,,Complex,Granted in Full,,,,,,,,,,,,,,
CIA,580786,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580787,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580788,N,,,,,11/5/2018,,11/21/2018,,Simple,Cancelled,Duplicate Request,,,,,,,,,,,,,
CIA,580789,N,,,,,11/5/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,,,,,,,,,,,,
CIA,580790,N,,,,,11/5/2018,,2/8/2019,,Complex,Granted in Full,,,,,,,,,,,,,,
CIA,580792,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580793,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580795,N,,,,,11/5/2018,,11/21/2018,,Simple,Cancelled,Duplicate Request,,,,,,,,,,,,,
CIA,580796,N,,,,,11/5/2018,,11/21/2018,,Simple,Cancelled,Duplicate Request,,,,,,,,,,,,,
CIA,580797,N,,,,,11/5/2018,,11/27/2018,,Simple,Cancelled,Duplicate Request,,,,,,,,,,,,,
CIA,580798,N,,,,,11/5/2018,,9/30/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580800,N,,,,,11/5/2018,,9/24/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580801,N,,,,,11/5/2018,,2/8/2019,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,580802,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580803,N,,,,,11/5/2018,,11/21/2018,,Simple,Cancelled,Not Agency Record,,,,,,,,,,,,,
CIA,580804,N,,,,,11/5/2018,,9/5/2019,,Complex,Granted in Part,,(b)(1); (b)(3); NR Record;,,,,,,,,,,,,
CIA,580806,N,,,,,11/5/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580807,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580808,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580809,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580810,N,,,,,11/5/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580811,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580812,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580813,N,,,,,11/5/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580814,N,,,,,11/5/2018,,9/5/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580815,N,,,,,11/5/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,6/4/2019,9/12/2019,Cancelled,Improper FOIA Request for Other Reasons,,,,,,,,
CIA,580816,N,,,,,11/5/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580817,N,,,,,11/5/2018,,2/6/2019,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,580818,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580819,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580820,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580821,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580822,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580823,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580824,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580825,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580826,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580827,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580828,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580829,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580830,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,6/4/2019,,,,,,,,,,,
CIA,580831,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,6/4/2019,,,,,,,,,,,
CIA,580832,N,,,,,11/5/2018,,1/23/2019,,Complex,No Records Located,,,6/4/2019,,,,,,,,,,,
CIA,580833,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580834,N,,,,,11/5/2018,,7/25/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580836,N,,,,,11/5/2018,,3/28/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580837,N,,,,,11/5/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580838,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580839,N,,,,,11/5/2018,,12/4/2018,,Complex,No Records Available,,,,,,,,,,,,,,
CIA,580840,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580841,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580842,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580843,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580844,N,,,,,11/5/2018,,3/25/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580845,N,,,,,11/5/2018,,2/7/2019,,Simple,Cancelled,Other Explained,,6/4/2019,9/12/2019,Cancelled,Improper FOIA Request for Other Reasons,,,,,,,,
CIA,580846,N,,,,,11/5/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580847,N,,,,,11/5/2018,,3/1/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,4/9/2019,,,,,,,,,,,
CIA,580848,N,,,,,11/5/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580850,N,,,,,11/5/2018,,6/25/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580856,N,,,,,11/5/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580857,N,,,,,11/5/2018,,7/25/2019,,Complex,Granted in Part,,(b)(1); (b)(3); NR Record;,8/20/2019,,,,,,,,,,,
CIA,580858,N,,,,,11/5/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,6/4/2019,9/12/2019,Cancelled,Improper FOIA Request for Other Reasons,,,,,,,,
CIA,580859,N,,,,,11/5/2018,,2/13/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580863,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580864,N,,,,,11/6/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580866,N,,,,,11/6/2018,,9/19/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580867,N,,,,,11/6/2018,,9/11/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580868,N,,,,,11/6/2018,,7/25/2019,,Complex,No Records Located,,,9/4/2019,,,,,,,,,,,
CIA,580869,N,,,,,11/6/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580870,N,,,,,11/6/2018,,2/8/2019,,Complex,No Records Available,,,,,,,,,,,,,,
CIA,580871,N,,,,,11/6/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,6/4/2019,,,,,,,,,,,
CIA,580872,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580873,N,,,,,11/6/2018,,2/1/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580874,N,,,,,11/6/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580875,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580876,N,,,,,11/6/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,,,,,,,,,,,,
CIA,580878,N,,,,,11/6/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,,,,,,,,,,,,
CIA,580879,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580880,N,,,,,11/6/2018,,,,Simple,,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580881,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580882,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580883,N,,,,,11/6/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580884,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580885,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580886,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580887,N,,,,,11/6/2018,,7/22/2019,,Complex,No Records Located,,,8/5/2019,,,,,,,,,,,
CIA,580888,N,,,,,11/6/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580893,N,,,,,11/6/2018,,1/9/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,3/15/2019,,,,,,,,,,,
CIA,580897,N,,,,,11/6/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580898,N,,,,,11/6/2018,,1/9/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,3/15/2019,8/29/2019,Appeal Fully Denied,,(b)(1); (b)(3);,,,,,,,
CIA,580900,N,,,,,11/6/2018,,3/25/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580907,N,,,,,11/6/2018,,12/4/2018,,Simple,No Records Located,,,,,,,,11/6/2018,11/6/2018,Denied,,,,
CIA,580909,N,,,,,11/6/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580910,N,,,,,11/6/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580913,N,,,,,11/6/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580917,N,,,,,11/6/2018,,12/17/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580922,N,,,,,11/6/2018,,11/6/2018,,Simple,Cancelled,Duplicate Request,,,,,,,,,,,,,
CIA,580925,N,,,,,11/6/2018,,4/29/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580928,N,,,,,11/7/2018,,1/29/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580931,N,,,,,11/7/2018,,2/21/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580932,N,,,,,11/7/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580937,N,,,,,11/7/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580942,N,,,,,11/7/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,580946,N,,,,,11/7/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580950,N,,,,,11/8/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580952,N,,,,,11/8/2018,,1/8/2019,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,580954,N,,,,,11/8/2018,,1/10/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580966,N,,,,,11/8/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580969,N,,,,,11/8/2018,,2/19/2019,,Simple,Granted in Full,,,4/25/2019,4/30/2019,Cancelled,Other Explained,,,,,,,,
CIA,580971,N,,,,,11/9/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580973,N,,,,,11/9/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580974,N,,,,,11/9/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,580976,N,,,,,11/9/2018,,3/1/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,4/5/2019,,,,,,,,,,,
CIA,580977,N,,,,,11/9/2018,,2/7/2019,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,580978,N,,,,,11/9/2018,,4/15/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,580979,N,,,,,11/9/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580980,N,,,,,11/9/2018,,9/26/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,580981,N,,,,,11/9/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580982,N,,,,,11/9/2018,,2/13/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,580983,N,,,,,11/9/2018,,2/19/2019,,Complex,Granted in Full,,,,,,,,,,,,,,
CIA,580984,N,,,,,11/9/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,580986,N,,,,,11/9/2018,,2/7/2019,,Simple,Cancelled,Not Agency Record,,,,,,,,,,,,,
CIA,580987,N,,,,,11/9/2018,,,,Simple,,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581002,N,,,,,11/9/2018,,4/29/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,581004,N,,,,,11/9/2018,,3/1/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581012,N,,,,,11/13/2018,,8/7/2019,,Complex,Granted in Part,,(b)(3); (b)(6); (j)(1); DISC;,,,,,,,,,,,,
CIA,581014,N,,,,,11/13/2018,,1/24/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581015,N,,,,,11/13/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581016,N,,,,,11/13/2018,,2/19/2019,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,581018,N,,,,,11/13/2018,,2/13/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581019,N,,,,,11/13/2018,,9/5/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,581020,N,,,,,11/13/2018,,5/31/2019,,Complex,No Records Located,,,,,,,,,,,,,,
CIA,581021,N,,,,,11/13/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,581023,N,,,,,11/13/2018,,11/21/2018,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,581025,N,,,,,11/13/2018,,1/4/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,3/14/2019,,,,,,,,,,,
CIA,581031,N,,,,,11/13/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581032,N,,,,,11/13/2018,,4/29/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,581033,N,,,,,11/13/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,581034,N,,,,,11/13/2018,,7/2/2019,,Simple,Cancelled,Too Broad/Not Reasonably Described,,,,,,,,,,,,,
CIA,581035,N,,,,,11/13/2018,,7/25/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581036,N,,,,,11/13/2018,,1/30/2019,,Complex,Granted in Part,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581042,N,,,,,11/14/2018,,1/28/2019,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,581044,N,,,,,11/14/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581053,N,,,,,11/14/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,581064,N,,,,,11/14/2018,,2/12/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,581069,N,,,,,11/15/2018,,4/30/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581070,N,,,,,11/15/2018,,2/19/2019,,Simple,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581076,N,,,,,11/15/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581078,N,,,,,11/15/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581088,N,,,,,11/16/2018,,5/21/2019,,Simple,Cancelled,Other Explained,,,,,,,,,,,,,
CIA,581089,N,,,,,11/16/2018,,12/14/2018,,Simple,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581090,N,,,,,11/16/2018,,12/11/2018,,Simple,Granted in Full,,,,,,,,,,,,,,
CIA,581091,N,,,,,11/16/2018,,,,Complex,,,,,,,,,,,,,,,
CIA,581098,N,,,,,11/16/2018,,,,Simple,,,,,,,,,,,,,,,
CIA,581099,N,,,,,11/16/2018,,12/10/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,581105,N,,,,,11/19/2018,,2/8/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,3/18/2019,,,,,,,,,,,
CIA,581106,N,,,,,11/19/2018,,2/19/2019,,Simple,No Records Located,,,3/18/2019,,,,,,,,,,,
CIA,581107,N,,,,,11/19/2018,,3/25/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581108,N,,,,,11/19/2018,,3/25/2019,,Complex,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581109,N,,,,,11/19/2018,,1/9/2019,,Simple,Cancelled,Too Broad/Not Reasonably Described,,,,,,,,,,,,,
CIA,581110,N,,,,,11/19/2018,,12/18/2018,,Simple,No Records Located,,,,,,,,,,,,,,
CIA,581111,N,,,,,11/19/2018,,12/4/2018,,Simple,Denied in Full,,(b)(1); (b)(3);,,,,,,,,,,,,
CIA,581113,N,,,,,11/19/2018,,3/4/2019,,Simple,Cancelled,SPR EXPD/Lack of Clarification/Addtl Info/Response,,,,,,,,,,,,,
CIA,581114,N,,,,,11/19/2018,,3/28/2019,,Complex,Granted in Part,,(b)(3); (b)(6);,,,,,,,,,,,,
CIA,581115,N,,,,,11/19/2018,,12/10/2018,,Simple,Cancelled,Improper FOIA Request for Other Reasons,,,,,,,,,,,,,
